Subfamily,Genus Name Pub,Species Name Pub,Status,Exotic,Island Name,Island Group,Archipelago,Biogeographic realm,Lat,Long
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Nakanoshima,Tokara Islands,Satsunan Islands,Temperate Northern Pacific,29.848849,129.871098
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Suwanose-jima,Tokara Islands,Satsunan Islands,Temperate Northern Pacific,29.641179,129.712841
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Taira-jima,Tokara Islands,Satsunan Islands,Temperate Northern Pacific,29.687286,129.533032
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Akuseki-jima,Tokara Islands,Satsunan Islands,Temperate Northern Pacific,29.459413,129.602299
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Kodakarajima,Tokara Islands,Satsunan Islands,Temperate Northern Pacific,29.223776,129.325522
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Takara-jima,Tokara Islands,Satsunan Islands,Temperate Northern Pacific,29.146641,129.207673
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Kikaijiima,Amami Islands,Satsunan Islands,Temperate Northern Pacific,28.323027,129.97242
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Amami-Oshima,Amami Islands,Satsunan Islands,Temperate Northern Pacific,28.311807,129.426562
Ponerinae,Hypoponera,nippona,Land + Island,Native,Shimo-Koshiki,Koshiki Islands,Satsunan Islands,Temperate Northern Pacific,31.688628,129.720072
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Kakeromajima,Amami Islands,Satsunan Islands,Temperate Northern Pacific,28.123869,129.257393
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Tokuno-shima,Amami Islands,Satsunan Islands,Temperate Northern Pacific,27.773461,128.948928
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Okinoerabu-jima,Amami Islands,Satsunan Islands,Temperate Northern Pacific,27.366219,128.600533
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Yoron-jima,Amami Islands,Satsunan Islands,Temperate Northern Pacific,27.042604,128.432407
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Okinawa,-,Okinawa Islands,Temperate Northern Pacific,26.517553,127.96582
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Iwotori-shima,Osumi Islands,Satsunan Islands,Temperate Northern Pacific,33.782704,131.970591
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Izena-jima,Okinawa Islands,Ryukyu Islands,Temperate Northern Pacific,26.933249,127.936596
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Sesoko,-,Okinawa Islands,Temperate Northern Pacific,26.643909,127.864001
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Kouri-jima,Okinawa Islands,Ryukyu Islands,Temperate Northern Pacific,26.70681,128.017522
Ponerinae,Hypoponera,nippona,Land + Island,Native,Tanegashima,Osumi Islands,Satsunan Islands,Temperate Northern Pacific,30.580814,130.975089
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Ikeijima,-,Okinawa Islands,Temperate Northern Pacific,27.046358,127.969979
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Henza-jima,-,Okinawa Islands,Temperate Northern Pacific,26.342162,127.958717
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Miyagi,Okinawa Islands,Ryukyu Islands,Temperate Northern Pacific,26.493709,127.959792
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Tsuken,Yokatsu Islands,Okinawa Islands,Temperate Northern Pacific,26.252339,127.941502
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Kudaka,Okinawa Islands,Ryukyu Islands,Temperate Northern Pacific,26.161523,127.894221
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Yagaji-shima,-,Okinawa Islands,Temperate Northern Pacific,26.663641,128.01317
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Tokashiki-jima,Kerama Islands,Okinawa Islands,Temperate Northern Pacific,26.364512,127.147575
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Aguni-jima,-,Okinawa Islands,Temperate Northern Pacific,26.587392,127.22955
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Kume-jima,Okinawa Islands,Ryukyu Islands,Temperate Northern Pacific,26.349982,126.773293
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Miyako-jima,Miyako Islands,Sakishima Islands,Temperate Northern Pacific,24.774041,125.332376
Ponerinae,Hypoponera,nippona,Land + Island,Native,Yakushima,Osumi Islands,Satsunan Islands,Temperate Northern Pacific,30.339135,130.522252
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Ikema-jima,Miyako Islands,Sakishima Islands,Temperate Northern Pacific,24.930295,125.243101
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Irabu,Miyako Islands,Sakishima Islands,Temperate Northern Pacific,24.829506,125.179153
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Kurima-jima,Miyako Islands,Sakishima Islands,Temperate Northern Pacific,24.237904,124.010534
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Shimoji-shima,Miyako Islands,Sakishima Islands,Temperate Northern Pacific,32.87245,129.033348
