species,log_lamina_sla,log_lamina_area,lamina_ldmc,tlp,wd,log_t_b,sqrt_mh
Cryptocarya obovata,2.152160028940687,8.685838739798184,0.4396717555257599,-2.0059649999999998,0.5444562999153831,-1.7169463015410182,6.324555320336759
Cryptocarya triplinervis,2.468223648226839,7.249277688415268,0.477455498982103,-1.99395,0.746627411859969,-1.4144656155259823,4.47213595499958
Cupaniopsis parvifolia,1.870958367651801,6.879811269136292,0.4956412565270652,-2.0740049999999997,0.719,NA,3.1622776601683795
Dendrocnide photinophila,3.3464782990777313,8.129830552919595,0.1710379822035275,NA,0.23019290705831494,-2.0581245856457375,4.47213595499958
Diospyros australis,1.912640125077847,7.3435386096371005,0.422993179121301,-2.2738725,0.6311706685524452,-1.7653227652802852,4.47213595499958
Diospyros geminata,2.1971936223486574,7.113920510885216,0.44130645692773907,-2.05146,0.8423651963390978,NA,3.1622776601683795
Diospyros pentamera,2.0565314500894547,7.18519192079309,0.552466327824409,-2.84796,0.64804671956125115,-1.4501731832912452,6.324555320336759
Diploglottis australis,1.9590698390273003,9.035258301376947,0.5011859217132896,NA,0.5237437917771388,-2.3225964319402737,5.916079783099616
Drypetes deplanchei,2.2696328523565676,7.637923640111516,0.44222261372194,-2.375568,0.7949384752550052,-1.8344247771815092,5
Ehretia acuminata,2.839656906284805,8.371156503938842,0.36949853385636916,-1.7702550000000001,0.5479587994081858,-1.646932624855645,5.477225575051661
Ehretia membranifolia,2.5591687955055007,6.807474202215752,0.3804240462316433,NA,0.7795574374217552,NA,3.4641016151377544
Elaeocarpus kirtonii,2.4782332128404945,8.04105095944261,0.3818249239984369,-1.77714,0.4924689616983118,-1.9510895338399972,6.708203932499369
Elattostachys xylocarpa,2.1734438326354883,6.42461046130754,0.5325711845057162,-2.1657375,0.7622785017299635,-2.1867553593056024,5
Erythroxylum sp. Splityard Creek,2.3792816115258426,5.581777256870302,0.4291251018649791,NA,0.8566133261516486,-1.3055261659316397,2.8284271247461903
Excoecaria dallachyana,2.5892566303509783,6.659398882123606,0.41163921635795325,-2.304855,0.7047924065217269,-1.4619188505405323,3.872983346207417
Ficus obliqua,2.346014396369652,7.7290222566948925,0.28059568896066706,-1.7283375,0.521,-2.2744063058457105,7.0710678118654755
Flindersia collina,1.750087543638963,6.131029090342827,0.5133914802979245,NA,0.7559602948034319,-1.893077650452012,5
Geijera salicifolia,2.0893832456431563,6.735315238792516,0.38504709692043504,-2.22588,0.6074380422511492,-2.031310036714813,5.477225575051661
Guioa semiglauca,2.171341675243476,6.6873694840598,0.532426665005795,NA,0.6414383663412685,-1.995091600784307,4.242640687119285
